epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5338,1.41098,4.44111,0.97281,0.00165,0.15972,0.06654,0.04,1.13762,4.0433,0.88344,0.000361721,0.000361721,0.000361721
2,25.3923,1.3463,2.99767,0.95977,0.00508,0.52196,0.24779,0.16474,1.17609,3.30667,0.92365,0.000703065,0.000703065,0.000703065
3,38.8319,1.28393,2.6551,0.96877,0.58124,0.29526,0.34869,0.206,1.17587,2.27216,0.92558,0.00101508,0.00101508,0.00101508
4,51.5359,1.20946,2.35968,0.92381,0.47841,0.45573,0.38246,0.24639,1.11525,1.5581,0.91271,0.000979013,0.000979013,0.000979013
5,64.8005,1.29265,2.33244,0.95947,0.52802,0.56304,0.448,0.25966,1.18497,1.40306,0.93153,0.000935018,0.000935018,0.000935018
6,78.3231,1.24268,2.08693,0.9368,0.54992,0.59672,0.5149,0.30481,1.12769,1.20742,0.92371,0.000891022,0.000891022,0.000891022
7,91.2518,1.16991,1.91354,0.93317,0.7293,0.50818,0.59368,0.37733,1.02946,1.11313,0.90066,0.000847026,0.000847026,0.000847026
8,103.914,1.21205,1.87663,0.92831,0.77254,0.57852,0.6195,0.37474,1.13138,1.03882,0.90601,0.000803031,0.000803031,0.000803031
9,117.275,1.11813,1.5333,0.92149,0.77401,0.5779,0.63447,0.38805,1.07193,0.88977,0.89558,0.000759035,0.000759035,0.000759035
10,129.993,1.1202,1.48189,0.89517,0.82956,0.60474,0.64728,0.42019,1.01373,0.80815,0.88949,0.00071504,0.00071504,0.00071504
11,142.548,1.08739,1.44372,0.89843,0.82942,0.61982,0.65838,0.41865,1.00347,0.80749,0.88738,0.000671044,0.000671044,0.000671044
12,154.921,1.07529,1.36631,0.89831,0.8518,0.62196,0.68444,0.43536,1.00573,0.73935,0.88426,0.000627048,0.000627048,0.000627048
13,167.915,1.09912,1.37329,0.88985,0.79006,0.6265,0.66547,0.41034,0.99247,0.74629,0.87707,0.000583053,0.000583053,0.000583053
14,180.608,1.04671,1.25528,0.88145,0.89736,0.60969,0.67568,0.44088,0.94229,0.70175,0.86974,0.000539057,0.000539057,0.000539057
15,193.415,1.03526,1.30535,0.88544,0.84915,0.64326,0.70069,0.46598,0.91369,0.69102,0.86438,0.000495062,0.000495062,0.000495062
16,209.017,0.97301,1.42101,0.86707,0.81499,0.6482,0.68298,0.45295,0.9387,0.70368,0.86561,0.000451066,0.000451066,0.000451066
17,221.791,0.99241,1.37121,0.87175,0.84946,0.60228,0.67846,0.44914,0.92478,0.71063,0.86109,0.00040707,0.00040707,0.00040707
18,234.457,0.97115,1.26234,0.87224,0.83294,0.6303,0.67591,0.43936,0.95937,0.68494,0.86579,0.000363075,0.000363075,0.000363075
19,247.469,0.96281,1.26049,0.87505,0.79377,0.65014,0.66948,0.45036,0.9385,0.7128,0.86381,0.000319079,0.000319079,0.000319079
20,260.023,0.94676,1.21991,0.86078,0.8544,0.63432,0.68572,0.46973,0.9079,0.67427,0.8595,0.000275084,0.000275084,0.000275084
21,272.88,0.94161,1.26647,0.83834,0.83203,0.64455,0.69219,0.47601,0.87824,0.62885,0.85216,0.000231088,0.000231088,0.000231088
22,285.614,0.91005,1.1507,0.85735,0.86689,0.65804,0.70138,0.49372,0.8476,0.62899,0.84833,0.000187092,0.000187092,0.000187092
23,298.17,0.86881,1.09501,0.84656,0.88326,0.64477,0.70014,0.48055,0.85362,0.60848,0.85022,0.000143097,0.000143097,0.000143097
24,311,0.8882,1.06398,0.85989,0.8885,0.65587,0.70516,0.48651,0.83275,0.59196,0.84765,9.91012e-05,9.91012e-05,9.91012e-05
25,323.293,0.87986,1.12233,0.84143,0.89132,0.6511,0.70283,0.48449,0.8464,0.59693,0.84765,5.51056e-05,5.51056e-05,5.51056e-05
